Speaker;Utterance
MOT;nuggets
MOT;what else does he want
MOT;say daddy I want nuggets
CHI;daddy I want nuggets
MOT;good
MOT;what else do you want
MOT;what else do you want Albert
MOT;wow
MOT;what is this
CHI;good bye
MOT;good bye
CHI;bunny
MOT;good bye clown
MOT;let's turn around Albert
MOT;let's turn this way
MOT;there you go
MOT;pretend you're dialing a phone
MOT;hello
MOT;who is it
MOT;it's a lion
MOT;uh oh
MOT;the lion disappeared
MOT;can you call this guy
MOT;say ring ring ring
MOT;say hello
MOT;can you say hello
CHI;hello
MOT;hi
CHI;thanks bye
MOT;thanks bye
MOT;that was cool
MOT;what else
CHI;where's the bus
MOT; ooh we can play with the baby
CHI;no, play with the bus
MOT;hey Albert
MOT;the baby wants some oatmeal
CHI;no
MOT;yeah
MOT;the baby does
MOT;can you make her some oatmeal in that big glass
CHI;no
MOT;no
MOT;here, stir it up and then pretend this is a microwave
MOT;right here
MOT;put it in the microwave
CHI;it's a table
MOT;yeah, but we're pretending
MOT;here, use these buttons to cook the oatmeal
CHI;I'm going to do
CHI;one
CHI;two
CHI;three
CHI;four
CHI;five
CHI;six
CHI;seven
CHI;eight
CHI;nine
CHI;ten
MOT;put it in
MOT;ok, I'll cook it
MOT;press the buttons and press what
CHI;one
CHI;two
CHI;three
MOT;start and then
MOT;start
MOT;bing
MOT;it's all done
CHI;I'm going to make it some more
MOT;it's hot
MOT;the baby doesn't want to get burned
MOT;can you blow on it for the baby before you give it to her
MOT;here's a spoon
CHI;it's a table
MOT;Albert
MOT;feed the baby with the spoon after you blow
MOT;it's hot
MOT;blow on it
MOT;it's very hot
CHI;she's eating it and it's hot
MOT;baby, is it too hot
MOT;she said to blow on it please
MOT;she's all done
MOT;now she wants to take a bath
MOT;she got oatmeal on her dress and everything
MOT;can you wash the baby
CHI;xxx
MOT;wash her foot
MOT;with the sponge
MOT;uh oh
MOT;did we put any water in there
MOT;let's turn the water on first
MOT;good
CHI;what is that
MOT;do you want warm water
CHI;no
MOT;no
CHI;they want hot water
MOT;okay, we have to be careful
MOT;can you put your finger in to make sure it's not too hot
CHI;it's hot
MOT;okay we have to wait until it's just right
MOT;okay is it ready
CHI;no, it's too
CHI;it's hot
MOT;okay let's wait
MOT;okay it's just right
MOT;put her in
MOT;yay
CHI;no, I'm going to make it hot
MOT;no more hot
MOT;can you pour this on her head to wash her hair
CHI;I'm making it hot
MOT;I'm going to pour it on her head
MOT;here, do what mommy does
MOT;can you pour it on her head and I'll hold this over her eyes
MOT;okay she's all done
MOT;good
MOT;brush the hair
MOT;and now xxx after she takes a bath
CHI;go take a bath
MOT;after you take a bath, what do you do sometimes
CHI;take a bath
CHI;I like two baths
MOT;and then
MOT;where is she going
MOT;can you put her in bed
MOT;put her in bed
CHI;put a xxx in bed
MOT;is that the bed
MOT;this is the bed
CHI;this is the bed
MOT;do you want to read her a story
CHI;xxx
MOT;read her a story
CHI;xxx
MOT;no the bed doesn't have water
MOT;read her a story
MOT;tell her about the three pigs
MOT;what happens with the three pigs
CHI;this is the wrong story
MOT;yeah it's a different story
MOT;we're pretending it's the three pigs story
MOT;you can tell her from your memory
MOT;once upon a time
MOT;oh she fell asleep anyway
MOT;she doesn't need the story
MOT;hey, let's do the blocks where we knock down the blocks
MOT;get the car
MOT;ok, I'm going to build
MOT;now it's your turn to knock it over
MOT;you got to pull back and let it go
MOT;pull back
CHI;xxx
MOT;pull back and
MOT;let's try again
MOT;pull back and
MOT;ooh
CHI;no, I don't want to do this
MOT;why not
CHI;no, I want to do the road
MOT;what are you making
CHI;a road
CHI;for this
CHI;a road for this
MOT;the frog wants to go on the road
CHI;no
CHI;this is the road
CHI;no no
CHI;no xxx
MOT;you have to look at me and tell me
CHI;the frog is sick
MOT;you have to tell me
MOT;Albert, look at me and tell me
CHI;stop playing xxx
MOT;what are you making
